#,Key,Name,Category,Institution Type,Parent Ministry,Location
40,CHEVAYWA TVC,CHEVAYWA  TECHCHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KAKAMEGA COUNTY
41,CHUKA TVC,CHUKA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,MERU COUNTY
42,CU,CHUKA UNIVERSITY,University,Public,Ministry of Education,THARAKA NITHI COUNTY
43,CU TVET - IGEMBE,CHUKA UNIVERSITY TVET - IGEMBE CAMPUS,College,Public,University TVET,MERU COUNTY
44,COPUK,CO-OPERATIVE UNIVERSITY OF KENYA,University,Public,Ministry of Education,NAIROBI COUNTY
45,DAVID M WAMBULI TVC,DAVID M WAMBULI TECHNICAL VOCATIONAL COLLEGE,College,Public,Ministry of Education,MAKUENI COUNTY
46,DAYSTAR,DAYSTAR UNIVERSITY,University,Private,Private Institution,MACHAKOS COUNTY
47,DKUT,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,University,Public,Ministry of Education,NYERI COUNTY
48,DR. DANIEL WAKO MURENDE TVC,DR. DANIEL WAKO MURENDE TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,BUSIA COUNTY
49,EASA,EAST AFRICAN SCHOOL OF AVIATION,College,Public,In Other Ministries,NAIROBI COUNTY
50,EBUKANGA TVC,EBUKANGA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,VIHIGA COUNTY
51,EU,EGERTON UNIVERSITY,University,Public,Ministry of Education,NAKURU COUNTY
52,EGOJI TTC,EGOJI TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,MERU COUNTY
53,ELDAMA RAVINE TVC,ELDAMA RAVINE TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,BARINGO COUNTY
54,ELDAS TTC,ELDAS TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,WAJIR COUNTY
55,ELDO POLY,ELDORET POLYTECHNIC,College,Public,Ministry of Education,UASIN GISHU COUNTY
56,ELWAK TVC,ELWAK TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,MANDERA COUNTY
57,EMGWEN TVC,EMGWEN TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,NANDI COUNTY
58,EMINING TTI,EMINING TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,BARINGO COUNTY
59,EMSOS TVC,EMSOS TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,UASIN GISHU COUNTY
60,EMURUA DIKIRR TTI,EMURUA DIKIRR TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,NAROK COUNTY
61,ENDEBESS TTI,ENDEBESS TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,TRANSNZOIA COUNTY
62,FAYYA TVC,FAYYA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,TANA RIVER COUNTY
63,FCK,FRIENDS COLLEGE KAIMOSI,College,Public,Ministry of Education,VIHIGA COUNTY
64,GALANA TTC,GALANA TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,KILIFI COUNTY
65,GARISSA TTC,GARISSA TEACHERS TRAINING  COLLEGE,College,Public,Ministry of Education,GARISSA COUNTY
66,GU,GARISSA UNIVERSITY,University,Public,Ministry of Education,GARISSA COUNTY
67,GARSEN TVC,GARSEN TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,TANA RIVER COUNTY
68,GATANGA TVC,GATANGA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,MURANG'A COUNTY
69,GATUNDU SOUTH TVC,GATUNDU SOUTH TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KIAMBU COUNTY
70,GICHUGU TVC,GICHUGU TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KIRINYAGA COUNTY
71,GILGIL TVC,GILGIL TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NAKURU COUNTY
72,GITHUNGURI TVC,GITHUNGURI TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,KIAMBU COUNTY
73,GITWEBE TTI,GITWEBE TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,NYAMIRA COUNTY
74,GODOMA TTI,GODOMA TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,KILIFI COUNTY
75,GOT RAMOGI TVC,GOT RAMOGI TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,SIAYA COUNTY
76,GLUK,GREAT LAKES UNIVERSITY OF KISUMU,University,Private,Private Institution,KISUMU COUNTY
77,GRETSA,GRETSA UNIVERSITY,University,Private,Private Institution,KIAMBU COUNTY
78,HEROES TVC,HEROES TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NAKURU COUNTY
79,IJARA TVC,IJARA TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,GARISSA COUNTY
80,IKUTHA TVC,IKUTHA TECHNICAL  AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KITUI COUNTY
81,ILU,INTERNATIONAL LEADERSHIP UNIVERSITY,University,Private,Private Institution,NAIROBI COUNTY
82,IUK,ISLAMIC UNIVERSITY OF KENYA,University,Private,Private Institution,NAIROBI COUNTY
83,JOOUST,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,University,Public,Ministry of Education,SIAYA COUNTY
84,JEREMIAH NYAGAH TI,JEREMIAH NYAGAH TECHNICAL INSTITUTE,College,Public,Ministry of Education,EMBU COUNTY
85,JKUAT,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,University,Public,Ministry of Education,KIAMBU COUNTY
86,JKUAT TI,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY TVET INSTITUTE,College,Public,University TVET,KIAMBU COUNTY
87,JOOUST TVET,JOOUST CENTRE OF TECHNICAL VOCATIONAL AND EDUCATION TRAINING,College,Public,University TVET,SIAYA COUNTY
88,KABU,KABARAK UNIVERSITY,University,Private,Private Institution,NAKURU COUNTY
89,KABARNET UNIVERSITY COLLEGE,KABARNET UNIVERSITY COLLEGE,University,Public,Ministry of Education,BARINGO COUNTY
90,KABETE POLY,KABETE NATIONAL POLYTECHNIC,College,Public,Ministry of Education,NAIROBI COUNTY
91,KAELO TTI,KAELO TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,MERU COUNTY
92,KAGUMO TTC,KAGUMO TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,NYERI COUNTY
93,KAIBOI POLY,KAIBOI NATIONAL POLYTECHNIC,College,Public,Ministry of Education,UASIN GISHU COUNTY
94,KAFU,KAIMOSI FRIENDS UNIVERSITY,University,Public,Ministry of Education,VIHIGA COUNTY
95,KAIMOSI TTC,KAIMOSI TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,VIHIGA COUNTY
96,KAJIADO EAST TVC,KAJIADO EAST TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,KAJIADO COUNTY
97,KAJIADO WEST TVC,KAJIADO WEST TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KAJIADO COUNTY
98,KAKRAO TVC,KAKRAO TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,MIGORI COUNTY
99,KALOLENI TVC,KALOLENI TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KILIFI COUNTY
100,KAMUKUNJI TVC,KAMUKUNJI TECHNICAL VOCATIONAL COLLEGE,College,Public,Ministry of Education,NAIROBI COUNTY
101,KAMWENJA TTC,KAMWENJA TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,NYERI COUNTY
102,KANDARA TVC,KANDARA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,MURANG'A COUNTY
103,KAPCHEPKOR TTI,KAPCHEPKOR TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,BARINGO COUNTY
104,KAPCHEROP TVC,KAPCHEROP TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,ELGEYO MARAKWET COUNTY
105,KARU,KARATINA UNIVERSITY,University,Public,Ministry of Education,NYERI COUNTY
106,KAREN TTI,KAREN TECHNICAL TRAINING INSTITUTE FOR THE DEAF,College,Public,Ministry of Education,NAIROBI COUNTY
107,KARUMO TTI,KARUMO TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,MERU COUNTY
108,KASARANI TVC,KASARANI TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NAIROBI COUNTY
109,KASNEB,KASNEB,College,Public,In Other Ministries,NAIROBI COUNTY
110,KATINE,KATINE TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,MACHAKOS COUNTY
111,KCA,KCA UNIVERSITY,University,Private,Private Institution,NAIROBI COUNTY
112,KENDEGE,KENDEGE TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,MIGORI COUNTY
113,KENGEN GEOTHERMAL TC,KENGEN GEOTHERMAL TRAINING CENTRE,College,Public,In Other Ministries,NAKURU COUNTY
114,KAGEU,KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,University,Private,Private Institution,NAIROBI COUNTY
115,KCNP,KENYA COAST POLYTECHNIC,College,Public,Ministry of Education,MOMBASA COUNTY
116,KFC,KENYA FORESTRY COLLEGE,College,Public,In Other Ministries,KERICHO COUNTY
117,KHEU,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,University,Private,Private Institution,KERICHO COUNTY
118,KITI,KENYA INDUSTRIAL TRAINING INSTITUTE,College,Public,In Other Ministries,NAKURU COUNTY
119,KIHBT,KENYA INSTITUTE OF HIGHWAYS AND BUILDING TECHNOLOGY,College,Public,In Other Ministries,NAIROBI COUNTY
120,KIMC,KENYA INSTITUTE OF MASS COMMUNICATION,College,Public,In Other Ministries,NAIROBI COUNTY
121,KISM,KENYA INSTITUTE OF SURVEYING AND MAPPING,College,Public,In Other Ministries,NAIROBI COUNTY
122,KMTC - AWENDO,KENYA MEDICAL TRAINING COLLEGE - AWENDO CAMPUS,College,Public,Ministry of Health,MIGORI COUNTY
123,KMTC - BOMET,KENYA MEDICAL TRAINING COLLEGE - BOMET CAMPUS,College,Public,Ministry of Health,BOMET COUNTY
124,KMTC - BONDO,KENYA MEDICAL TRAINING COLLEGE - BONDO CAMPUS,College,Public,Ministry of Health,SIAYA COUNTY
125,KMTC - BUNGOMA,KENYA MEDICAL TRAINING COLLEGE - BUNGOMA CAMPUS,College,Public,Ministry of Health,BUNGOMA COUNTY
126,KMTC - BURNT FOREST,KENYA MEDICAL TRAINING COLLEGE - BURNT FOREST CAMPUS,College,Public,Ministry of Health,UASIN GISHU COUNTY
127,KMTC - BUSIA,KENYA MEDICAL TRAINING COLLEGE - BUSIA CAMPUS,College,Public,Ministry of Health,BUSIA COUNTY
128,KMTC - BUTULA,KENYA MEDICAL TRAINING COLLEGE - BUTULA CAMPUS,College,Public,Ministry of Health,BUSIA COUNTY
129,KMTC - CHEMOLINGOT,KENYA MEDICAL TRAINING COLLEGE - CHEMOLINGOT CAMPUS,College,Public,Ministry of Health,BARINGO COUNTY
130,KMTC - CHUKA,KENYA MEDICAL TRAINING COLLEGE - CHUKA CAMPUS,College,Public,Ministry of Health,EMBU COUNTY
131,KMTC - CHWELE,KENYA MEDICAL TRAINING COLLEGE - CHWELE CAMPUS,College,Public,Ministry of Health,BUNGOMA COUNTY
132,KMTC - ELDORET,KENYA MEDICAL TRAINING COLLEGE - ELDORET CAMPUS,College,Public,Ministry of Health,UASIN GISHU COUNTY
133,KMTC - EMBU,KENYA MEDICAL TRAINING COLLEGE - EMBU CAMPUS,College,Public,Ministry of Health,EMBU COUNTY
134,KMTC - GARISSA,KENYA MEDICAL TRAINING COLLEGE - GARISSA CAMPUS,College,Public,Ministry of Health,GARISSA COUNTY
135,KMTC - GATUNDU - MUTUNGURU SATELLITE,KENYA MEDICAL TRAINING COLLEGE - GATUNDU - MUTUNGURU SATELLITE CAMPUS,College,Public,Ministry of Health,KIAMBU COUNTY
136,KMTC - GATUNDU,KENYA MEDICAL TRAINING COLLEGE - GATUNDU CAMPUS,College,Public,Ministry of Health,KIAMBU COUNTY
137,KMTC - HOMA BAY - MBITA SATELLITE,KENYA MEDICAL TRAINING COLLEGE - HOMA BAY - MBITA SATELLITE CAMPUS,College,Public,Ministry of Health,HOMA BAY COUNTY
138,KMTC - HOMA BAY,KENYA MEDICAL TRAINING COLLEGE - HOMA BAY CAMPUS,College,Public,Ministry of Health,HOMA BAY COUNTY
139,KMTC - IMENTI,KENYA MEDICAL TRAINING COLLEGE - IMENTI CAMPUS,College,Public,Ministry of Health,MERU COUNTY
140,KMTC - ISIOLO,KENYA MEDICAL TRAINING COLLEGE - ISIOLO CAMPUS,College,Public,Ministry of Health,ISIOLO COUNTY
141,KMTC - ITEN,KENYA MEDICAL TRAINING COLLEGE - ITEN CAMPUS,College,Public,Ministry of Health,ELGEYO MARAKWET COUNTY
142,KMTC - KABARNET,KENYA MEDICAL TRAINING COLLEGE - KABARNET CAMPUS,College,Public,Ministry of Health,BARINGO COUNTY
143,KMTC - KAKAMEGA - IKOLOMANI SATELLITE,KENYA MEDICAL TRAINING COLLEGE - KAKAMEGA - IKOLOMANI CAMPUS,College,Public,Ministry of Health,KAKAMEGA COUNTY
144,KMTC - KAKAMEGA - NAVAKHOLO,KENYA MEDICAL TRAINING COLLEGE - KAKAMEGA - NAVAKHOLO CAMPUS,College,Public,Ministry of Health,KAKAMEGA COUNTY
145,KMTC - KAKAMEGA,KENYA MEDICAL TRAINING COLLEGE - KAKAMEGA CAMPUS,College,Public,Ministry of Health,KAKAMEGA COUNTY
146,KMTC - KANGEMA,KENYA MEDICAL TRAINING COLLEGE - KANGEMA CAMPUS,College,Public,Ministry of Health,MURANG'A COUNTY
147,KMTC - KANGUNDO,KENYA MEDICAL TRAINING COLLEGE - KANGUNDO CAMPUS,College,Public,Ministry of Health,MACHAKOS COUNTY
148,KMTC - KAPENGURIA,KENYA MEDICAL TRAINING COLLEGE - KAPENGURIA CAMPUS,College,Public,Ministry of Health,WEST POKOT COUNTY
149,KMTC - KAPKATET,KENYA MEDICAL TRAINING COLLEGE - KAPKATET CAMPUS,College,Public,Ministry of Health,KERICHO COUNTY
150,KMTC - KAPTUMO,KENYA MEDICAL TRAINING COLLEGE - KAPTUMO CAMPUS,College,Public,Ministry of Health,NANDI COUNTY
151,KMTC - KAREN - NAIROBI,KENYA MEDICAL TRAINING COLLEGE - KAREN - NAIROBI CAMPUS,College,Public,Ministry of Health,NAIROBI COUNTY
152,KMTC - KARURI,KENYA MEDICAL TRAINING COLLEGE - KARURI CAMPUS,College,Public,Ministry of Health,KIAMBU COUNTY
153,KMTC - KERIO VALLEY,KENYA MEDICAL TRAINING COLLEGE - KERIO VALLEY CAMPUS,College,Public,Ministry of Health,ELGEYO MARAKWET COUNTY
154,KMTC - KILIFI,KENYA MEDICAL TRAINING COLLEGE - KILIFI CAMPUS,College,Public,Ministry of Health,KILIFI COUNTY
155,KMTC - KINANGOP,KENYA MEDICAL TRAINING COLLEGE - KINANGOP CAMPUS,College,Public,Ministry of Health,NYANDARUA COUNTY
156,KMTC - KISII,KENYA MEDICAL TRAINING COLLEGE - KISII CAMPUS,College,Public,Ministry of Health,KISII COUNTY
157,KMTC - KISUMU,KENYA MEDICAL TRAINING COLLEGE - KISUMU CAMPUS,College,Public,Ministry of Health,KISUMU COUNTY
158,KMTC - KITALE,KENYA MEDICAL TRAINING COLLEGE - KITALE CAMPUS,College,Public,Ministry of Health,TRANSNZOIA COUNTY
159,KMTC - KITUI - MUTOMO,KENYA MEDICAL TRAINING COLLEGE - KITUI - MUTOMO CAMPUS,College,Public,Ministry of Health,KITUI COUNTY
160,KMTC - KITUI,KENYA MEDICAL TRAINING COLLEGE - KITUI CAMPUS,College,Public,Ministry of Health,KITUI COUNTY
161,KMTC - KOMBEWA,KENYA MEDICAL TRAINING COLLEGE - KOMBEWA CAMPUS,College,Public,Ministry of Health,KISUMU COUNTY
162,KMTC - KURIA,KENYA MEDICAL TRAINING COLLEGE - KURIA CAMPUS,College,Public,Ministry of Health,MIGORI COUNTY
163,KMTC - KWALE,KENYA MEDICAL TRAINING COLLEGE - KWALE CAMPUS,College,Public,Ministry of Health,KWALE COUNTY
164,KMTC - LAKE VICTORIA,KENYA MEDICAL TRAINING COLLEGE - LAKE VICTORIA CAMPUS,College,Public,Ministry of Health,KISUMU COUNTY
165,KMTC - LAMU,KENYA MEDICAL TRAINING COLLEGE - LAMU CAMPUS,College,Public,Ministry of Health,LAMU COUNTY
166,KMTC - LODWAR,KENYA MEDICAL TRAINING COLLEGE - LODWAR CAMPUS,College,Public,Ministry of Health,TURKANA COUNTY
167,KMTC - LOITOKITOK,KENYA MEDICAL TRAINING COLLEGE - LOITOKITOK CAMPUS,College,Public,Ministry of Health,KAJIADO COUNTY
168,KMTC - LUGARI,KENYA MEDICAL TRAINING COLLEGE - LUGARI CAMPUS,College,Public,Ministry of Health,KAKAMEGA COUNTY
169,KMTC - MACHAKOS,KENYA MEDICAL TRAINING COLLEGE - MACHAKOS CAMPUS,College,Public,Ministry of Health,MACHAKOS COUNTY
170,KMTC - MAKINDU,KENYA MEDICAL TRAINING COLLEGE - MAKINDU CAMPUS,College,Public,Ministry of Health,MAKUENI COUNTY
171,KMTC - MAKUENI - MBUVO,KENYA MEDICAL TRAINING COLLEGE - MAKUENI - MBUVO CAMPUS,College,Public,Ministry of Health,MAKUENI COUNTY
172,KMTC - MAKUENI,KENYA MEDICAL TRAINING COLLEGE - MAKUENI CAMPUS,College,Public,Ministry of Health,MAKUENI COUNTY
173,KMTC - MANDERA,KENYA MEDICAL TRAINING COLLEGE - MANDERA CAMPUS,College,Public,Ministry of Health,MANDERA COUNTY
174,KMTC - MANZA,KENYA MEDICAL TRAINING COLLEGE - MANZA CAMPUS,College,Public,Ministry of Health,MACHAKOS COUNTY
175,KMTC - MARIMANTI,KENYA MEDICAL TRAINING COLLEGE - MARIMANTI CAMPUS,College,Public,Ministry of Health,THARAKA NITHI COUNTY
176,KMTC - MARSABIT,KENYA MEDICAL TRAINING COLLEGE - MARSABIT CAMPUS,College,Public,Ministry of Health,MARSABIT COUNTY
177,KMTC - MATHARE,KENYA MEDICAL TRAINING COLLEGE - MATHARE CAMPUS,College,Public,Ministry of Health,NAIROBI COUNTY
178,KMTC - MAUA,KENYA MEDICAL TRAINING COLLEGE - MAUA CAMPUS,College,Public,Ministry of Health,MERU COUNTY
179,KMTC - MBOONI,KENYA MEDICAL TRAINING COLLEGE - MBOONI CAMPUS,College,Public,Ministry of Health,MAKUENI COUNTY
180,KMTC - MERU - MIATHENE SATELLITE,KENYA MEDICAL TRAINING COLLEGE - MERU - MIATHENE SATELLITE CAMPUS,College,Public,Ministry of Health,MERU COUNTY
181,KMTC - MERU,KENYA MEDICAL TRAINING COLLEGE - MERU CAMPUS,College,Public,Ministry of Health,MERU COUNTY
182,KMTC - MIGORI,KENYA MEDICAL TRAINING COLLEGE - MIGORI CAMPUS,College,Public,Ministry of Health,MIGORI COUNTY
183,KMTC - MOLO,KENYA MEDICAL TRAINING COLLEGE - MOLO CAMPUS,College,Public,Ministry of Health,NAKURU COUNTY
184,KMTC - MOMBASA,KENYA MEDICAL TRAINING COLLEGE - MOMBASA CAMPUS,College,Public,Ministry of Health,MOMBASA COUNTY
185,KMTC - MOSORIOT,KENYA MEDICAL TRAINING COLLEGE - MOSORIOT CAMPUS,College,Public,Ministry of Health,NANDI COUNTY
186,KMTC - MSAMBWENI,KENYA MEDICAL TRAINING COLLEGE - MSAMBWENI CAMPUS,College,Public,Ministry of Health,KWALE COUNTY
187,KMTC - MURANG'A,KENYA MEDICAL TRAINING COLLEGE - MURANG'A CAMPUS,College,Public,Ministry of Health,MURANG'A COUNTY
188,KMTC - MWINGI,KENYA MEDICAL TRAINING COLLEGE - MWINGI CAMPUS,College,Public,Ministry of Health,KITUI COUNTY
189,KMTC - NAIROBI,KENYA MEDICAL TRAINING COLLEGE - NAIROBI CAMPUS,College,Public,Ministry of Health,NAIROBI COUNTY
190,KMTC - NAKURU,KENYA MEDICAL TRAINING COLLEGE - NAKURU CAMPUS,College,Public,Ministry of Health,NAKURU COUNTY
191,KMTC - NAROK,KENYA MEDICAL TRAINING COLLEGE - NAROK CAMPUS,College,Public,Ministry of Health,NAROK COUNTY
192,KMTC - NDHIWA,KENYA MEDICAL TRAINING COLLEGE - NDHIWA CAMPUS,College,Public,Ministry of Health,HOMA BAY COUNTY
193,KMTC - NYAHURURU,KENYA MEDICAL TRAINING COLLEGE - NYAHURURU CAMPUS,College,Public,Ministry of Health,LAIKIPIA COUNTY
194,KMTC - NYAMACHE,KENYA MEDICAL TRAINING COLLEGE - NYAMACHE CAMPUS,College,Public,Ministry of Health,KISII COUNTY
195,KMTC - NYAMIRA,KENYA MEDICAL TRAINING COLLEGE - NYAMIRA CAMPUS,College,Public,Ministry of Health,NYAMIRA COUNTY
196,KMTC - NYANDARUA,KENYA MEDICAL TRAINING COLLEGE - NYANDARUA CAMPUS,College,Public,Ministry of Health,NYANDARUA COUNTY
197,KMTC - NYERI - MUKURUWEINI SATELLITE,KENYA MEDICAL TRAINING COLLEGE - NYERI - MUKURUWEINI SATELLITE CAMPUS,College,Public,Ministry of Health,NYERI COUNTY
198,KMTC - NYERI,KENYA MEDICAL TRAINING COLLEGE - NYERI CAMPUS,College,Public,Ministry of Health,NYERI COUNTY
199,KMTC - OTHAYA,KENYA MEDICAL TRAINING COLLEGE - OTHAYA CAMPUS,College,Public,Ministry of Health,NYERI COUNTY
200,KMTC - PORT REITZ,KENYA MEDICAL TRAINING COLLEGE - PORT REITZ CAMPUS,College,Public,Ministry of Health,MOMBASA COUNTY
201,KMTC - RACHUONYO,KENYA MEDICAL TRAINING COLLEGE - RACHUONYO CAMPUS,College,Public,Ministry of Health,HOMA BAY COUNTY
202,KMTC - RERA,KENYA MEDICAL TRAINING COLLEGE - RERA CAMPUS,College,Public,Ministry of Health,SIAYA COUNTY
203,KMTC - SHIANDA - MUMIAS,KENYA MEDICAL TRAINING COLLEGE - SHIANDA - MUMIAS CAMPUS,College,Public,Ministry of Health,KAKAMEGA COUNTY
204,KMTC - SIAYA,KENYA MEDICAL TRAINING COLLEGE - SIAYA CAMPUS,College,Public,Ministry of Health,SIAYA COUNTY
205,KMTC - SIGOWET,KENYA MEDICAL TRAINING COLLEGE - SIGOWET CAMPUS,College,Public,Ministry of Health,KERICHO COUNTY
206,KMTC - TANA RIVER,KENYA MEDICAL TRAINING COLLEGE - TANA RIVER CAMPUS,College,Public,Ministry of Health,TANA RIVER COUNTY
